Condition	Video	Date	Time	Time_2
A	E04A-0273	12/08/2017	10:04:00	0.419444444
A	E04A-0275	12/08/2017	11:00:00	0.458333333
A	E04A-0277	12/08/2017	11:40:00	0.486111111
A	E04A-0281	12/08/2017	12:26:00	0.518055556
A	E04A-0283	12/08/2017	13:12:00	0.55
A	E04A-0285	12/08/2017	13:43:00	0.571527778
A	E04A-0289	12/08/2017	14:21:00	0.597916667
A	E04A-0292	12/08/2017	14:59:00	0.624305556
A	E04A-0294	12/08/2017	15:52:00	0.661111111
A	E04A-0296	12/08/2017	16:51:00	0.702083333
A	E04A-0300	13/08/2017	15:22:00	0.640277778
A	E04A-0301	13/08/2017	17:00:00	0.708333333
A	E04A-0303	14/08/2017	9:17:00	0.386805556
A	E04A-0304	14/08/2017	11:46:00	0.490277778
A	E04A-0305	14/08/2017	12:40:00	0.527777778
A	E04A-0306	14/08/2017	13:15:00	0.552083333
A	E04A-0308	14/08/2017	13:49:00	0.575694444
A	E04A-0309	15/08/2017	10:15:00	0.427083333
A	E04A-0310	15/08/2017	11:10:00	0.465277778
A	E04A-0311	15/08/2017	11:41:00	0.486805556
A	E04A-0314	15/08/2017	12:22:00	0.515277778
A	E04A-0318	15/08/2017	13:12:00	0.55
A	E04A-0320	15/08/2017	13:44:00	0.572222222
A	E04A-0322	15/08/2017	14:29:00	0.603472222
A	E04A-0324	15/08/2017	15:21:00	0.639583333
A	E04A-0325	15/08/2017	16:11:00	0.674305556
A	E04A-0328	16/08/2017	8:08:00	0.338888889
A	E04A-0329	16/08/2017	9:24:00	0.391666667
A	E04A-0332	16/08/2017	9:58:00	0.415277778
A	E04A-0333	16/08/2017	10:29:00	0.436805556
A	E04A-0334	16/08/2017	11:00:00	0.458333333
A	E04A-0336	16/08/2017	11:48:00	0.491666667
A	E04A-0337	16/08/2017	12:28:00	0.519444444
A	E04A-0340	16/08/2017	13:27:00	0.560416667
A	E04A-0342	16/08/2017	14:24:00	0.6
A	E04A-0343	16/08/2017	15:30:00	0.645833333
A	E04A-0344	17/08/2017	8:04:00	0.336111111
A	E04A-0346	17/08/2017	9:34:00	0.398611111
A	E04A-0347	17/08/2017	10:48:00	0.45
A	E04A-0348	17/08/2017	11:50:00	0.493055556
A	E04A-0349	17/08/2017	12:42:00	0.529166667
A	E04A-0350	17/08/2017	13:37:00	0.567361111
A	E04A-0351	17/08/2017	15:02:00	0.626388889
A	E04A-0352	17/08/2017	15:58:00	0.665277778
A	E04A-0354	18/08/2017	7:39:00	0.31875
A	E04A-0355	18/08/2017	10:57:00	0.45625
A	E04A-0356	18/08/2017	11:28:00	0.477777778
A	E04A-0358	18/08/2017	12:22:00	0.515277778
A	E04A-0362	18/08/2017	13:11:00	0.549305556
A	E04A-0363	18/08/2017	13:46:00	0.573611111
A	E04A-0364	18/08/2017	14:21:00	0.597916667
A	E04A-0365	18/08/2017	15:01:00	0.625694444
A	E04A-0366	18/08/2017	7:50:00	0.326388889
A	E04A-0367	19/08/2017	8:30:00	0.354166667
A	E04A-0368	19/08/2017	9:10:00	0.381944444
A	E04A-0370	19/08/2017	10:14:00	0.426388889
A	E04A-0372	19/08/2017	11:14:00	0.468055556
A	E04A-0373	19/08/2017	11:47:00	0.490972222
A	E04A-0374	19/08/2017	12:20:00	0.513888889
A	E04A-0376	19/08/2017	13:15:00	0.552083333
A	E04A-0379	19/08/2017	14:09:00	0.589583333
A	E04A-0380	19/08/2017	14:47:00	0.615972222
A	E04A-0381	19/08/2017	15:21:00	0.639583333
A	E04A-0382	19/08/2017	16:05:00	0.670138889
A	E04A-0385	19/08/2017	16:36:00	0.691666667
A	E04A-0387	19/08/2017	17:22:00	0.723611111
A	E04A-0388	19/08/2017	17:53:00	0.745138889
A	E04A-0389	20/08/2017	8:29:00	0.353472222
A	E04A-0390	20/08/2017	9:36:00	0.4
A	E04A-0392	20/08/2017	10:23:00	0.432638889
A	E04A-0393	20/08/2017	11:24:00	0.475
A	E04A-0394	20/08/2017	12:14:00	0.509722222
A	E04A-0395	20/08/2017	12:59:00	0.540972222
A	E04A-0396	20/08/2017	13:31:00	0.563194444
A	E04A-0399	20/08/2017	14:02:00	0.584722222
A	E04A-0402	20/08/2017	14:33:00	0.60625
A	E04A-0408	20/08/2017	15:38:00	0.651388889
A	E04A-0410	20/08/2017	16:11:00	0.674305556
A	E04A-0413	20/08/2017	16:43:00	0.696527778
A	E04A-0417	20/08/2017	17:21:00	0.722916667
A	E04A-0419	20/08/2017	18:03:00	0.752083333
A	E04A-0420	21/08/2017	7:43:00	0.321527778
A	E04A-0421	21/08/2017	8:26:00	0.351388889
A	E04A-0422	21/08/2017	8:58:00	0.373611111
A	E04A-0424	21/08/2017	10:25:00	0.434027778
A	E04A-0425	21/08/2017	11:45:00	0.489583333
A	E04A-0427	21/08/2017	15:02:00	0.626388889
A	E04A-0429	21/08/2017	16:26:00	0.684722222
A	E04A-0430	21/08/2017	17:10:00	0.715277778
A	E04A-0431	21/08/2017	17:46:00	0.740277778
A	E04A-0432	22/08/2017	7:29:00	0.311805556
A	E04A-0433	22/08/2017	8:24:00	0.35
A	E04A-0435	22/08/2017	11:44:00	0.488888889
A	E04A-0437	22/08/2017	12:24:00	0.516666667
A	E04A-0440	22/08/2017	13:15:00	0.552083333
A	E04A-0442	22/08/2017	13:54:00	0.579166667
A	E04A-0444	22/08/2017	14:32:00	0.605555556
A	E04A-0447	22/08/2017	15:26:00	0.643055556
A	E04A-0451	22/08/2017	15:57:00	0.664583333
A	E04A-0454	22/08/2017	16:50:00	0.701388889
A	E04A-0458	22/08/2017	17:31:00	0.729861111
A	E04A-0462	23/08/2017	8:08:00	0.338888889
A	E04A-0465	23/08/2017	10:52:00	0.452777778
A	E04A-0466	23/08/2017	11:25:00	0.475694444
A	E04A-0469	23/08/2017	11:57:00	0.497916667
A	E04A-0470	23/08/2017	12:51:00	0.535416667
A	E04A-0471	23/08/2017	13:35:00	0.565972222
A	E04A-0474	24/08/2017	7:33:00	0.314583333
A	E04A-0476	24/08/2017	8:10:00	0.340277778
A	E04A-0477	24/08/2017	8:43:00	0.363194444
A	E04A-0478	24/08/2017	9:20:00	0.388888889
A	E04A-0479	24/08/2017	10:37:00	0.442361111
A	E04A-0480	24/08/2017	11:12:00	0.466666667
A	E04A-0483	24/08/2017	13:12:00	0.55
A	E04A-0484	24/08/2017	15:19:00	0.638194444
A	E04A-0485	24/08/2017	16:18:00	0.679166667
A	E04A-0487	24/08/2017	16:59:00	0.707638889
A	E04A-0489	24/08/2017	17:42:00	0.7375
A	E04A-0490	25/08/2017	7:35:00	0.315972222
A	E04A-0493	25/08/2017	8:42:00	0.3625
A	E04A-0495	25/08/2017	9:33:00	0.397916667
A	E04A-0498	25/08/2017	10:31:00	0.438194444
A	E04A-0502	25/08/2017	11:15:00	0.46875
A	E04A-0507	25/08/2017	11:55:00	0.496527778
A	E04A-0511	25/08/2017	12:27:00	0.51875
A	E04A-0514	25/08/2017	13:10:00	0.548611111
A	E04A-0516	25/08/2017	13:47:00	0.574305556
A	E04A-0520	25/08/2017	15:19:00	0.638194444
A	E04A-0522	25/08/2017	16:53:00	0.703472222
A	E04A-0524	26/08/2017	8:48:00	0.366666667
A	E04A-0526	26/08/2017	9:41:00	0.403472222
A	E04A-0527	26/08/2017	10:58:00	0.456944444
A	E04A-0528	26/08/2017	11:35:00	0.482638889
A	E04A-0529	26/08/2017	14:58:00	0.623611111
A	E04A-0530	27/08/2017	7:24:00	0.308333333
A	E04A-0531	27/08/2017	11:00:00	0.458333333
A	E04A-0532	27/08/2017	12:59:00	0.540972222
A	E04A-0534	27/08/2017	13:50:00	0.576388889
A	E04A-0535	27/08/2017	14:22:00	0.598611111
A	E04A-0537	27/08/2017	15:13:00	0.634027778
A	E04A-0540	27/08/2017	15:44:00	0.655555556
A	E04A-0542	27/08/2017	16:15:00	0.677083333
A	E04A-0545	27/08/2017	17:03:00	0.710416667
A	E04A-0548	27/08/2017	17:36:00	0.733333333
A	E04A-0549	28/08/2017	8:25:00	0.350694444
A	E04A-0550	28/08/2017	10:15:00	0.427083333
A	E04A-0553	28/08/2017	10:49:00	0.450694444
A	E04A-0555	28/08/2017	11:42:00	0.4875
A	E04A-0557	28/08/2017	12:16:00	0.511111111
A	E04A-0560	28/08/2017	12:49:00	0.534027778
A	E04A-0562	28/08/2017	13:28:00	0.561111111
